"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/09/2024","AQS","090030025","1","0.8","ppm","9","Huntley Place-Hartford","16","67.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/10/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/11/2024","AQS","090030025","1","0.6","ppm","7","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/12/2024","AQS","090030025","1","0.8","ppm","9","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/13/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","4","17.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/18/2024","AQS","090030025","1","0.6","ppm","7","Huntley Place-Hartford","16","67.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/19/2024","AQS","090030025","1","0.6","ppm","7","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/20/2024","AQS","090030025","1","0.3","ppm","3","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/21/2024","AQS","090030025","1","0.2","ppm","2","Huntley Place-Hartford","4","17.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/25/2024","AQS","090030025","1","0.6","ppm","7","Huntley Place-Hartford","16","67.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/26/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/27/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/28/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","4","17.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
