"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","090010010","1","0.3","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/02/2024","AQS","090010010","1","0.4","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/03/2024","AQS","090010010","1","0.3","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/04/2024","AQS","090010010","1","0.2","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/05/2024","AQS","090010010","1","0.4","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/06/2024","AQS","090010010","1","0.5","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/07/2024","AQS","090010010","1","0.1","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/08/2024","AQS","090010010","1","0.7","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/09/2024","AQS","090010010","1","0.9","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/10/2024","AQS","090010010","1","0.3","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/11/2024","AQS","090010010","1","0.4","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/12/2024","AQS","090010010","1","0.7","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/13/2024","AQS","090010010","1","0.2","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/14/2024","AQS","090010010","1","0.5","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/15/2024","AQS","090010010","1","0.7","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/16/2024","AQS","090010010","1","0.4","ppb","0","Roosevelt School-Bridgeport","23","96.0000","42401","Sulfur dioxide","560","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
